Anno,Tipo,Valori tipo,Valori
1944,Conigli e selvaggina,Peso (n morto),790.0
1945,Conigli e selvaggina,Peso (n morto),750.0
1946,Conigli e selvaggina,Peso (n morto),660.0
1947,Conigli e selvaggina,Peso (n morto),570.0
1948,Conigli e selvaggina,Peso (n morto),520.0
1949,Conigli e selvaggina,Peso (n morto),480.0
1950,Conigli e selvaggina,Peso (n morto),450.0
1951,Conigli e selvaggina,Peso (n morto),466.0
1952,Conigli e selvaggina,Peso (n morto),486.0
1953,Conigli e selvaggina,Peso (n morto),477.0
1954,Conigli e selvaggina,Peso (n morto),479.0
1955,Conigli e selvaggina,Peso (n morto),477.0
1956,Conigli e selvaggina,Peso (n morto),486.0
1957,Conigli e selvaggina,Peso (n morto),471.0
1958,Conigli e selvaggina,Peso (n morto),504.0
1959,Conigli e selvaggina,Peso (n morto),529.0
1960,Conigli e selvaggina,Peso (n morto),571.0
1961,Bovini e bufalini,Numero (n capi),3568.0
1962,Bovini e bufalini,Numero (n capi),3843.0
1963,Bovini e bufalini,Numero (n capi),3098.0
1964,Bovini e bufalini,Numero (n capi),2691.0
1965,Bovini e bufalini,Numero (n capi),2761.0
1966,Bovini e bufalini,Numero (n capi),3187.0
1967,Bovini e bufalini,Numero (n capi),3143.0
1968,Bovini e bufalini,Numero (n capi),3120.0
1969,Bovini e bufalini,Numero (n capi),3566.0
1970,Bovini e bufalini,Numero (n capi),3237.0
1971,Bovini e bufalini,Numero (n capi),2743.0
1972,Bovini e bufalini,Numero (n capi),2223.0
1973,Bovini e bufalini,Numero (n capi),2264.0
1974,Bovini e bufalini,Numero (n capi),4977.0
1975,Bovini e bufalini,Numero (n capi),4518.0
1976,Bovini e bufalini,Numero (n capi),4632.0
1977,Bovini e bufalini,Numero (n capi),4783.0
1978,Bovini e bufalini,Numero (n capi),4685.0
1979,Bovini e bufalini,Numero (n capi),4988.0
1980,Bovini e bufalini,Numero (n capi),5128.0
1981,Bovini e bufalini,Numero (n capi),4912.0
1982,Bovini e bufalini,Numero (n capi),4794.0
1983,Bovini e bufalini,Numero (n capi),4938.0
1984,Bovini e bufalini,Numero (n capi),5132.0
1985,Bovini e bufalini,Numero (n capi),5191.0
1986,Bovini e bufalini,Numero (n capi),5101.0
1987,Bovini e bufalini,Numero (n capi),4977.0
1988,Bovini e bufalini,Numero (n capi),4919.0
1989,Bovini e bufalini,Numero (n capi),4874.0
1990,Bovini e bufalini,Numero (n capi),4884.0
1991,Bovini e bufalini,Numero (n capi),4955.0
1992,Bovini e bufalini,Numero (n capi),5067.0
1993,Bovini e bufalini,Numero (n capi),4863.0
1994,Bovini e bufalini,Numero (n capi),4755.0
1995,Bovini e bufalini,Numero (n capi),4732.0
1996,Bovini e bufalini,Numero (n capi),4636.0
1997,Bovini e bufalini,Numero (n capi),4611.0
1998,Bovini e bufalini,Numero (n capi),4416.0
1999,Bovini e bufalini,Numero (n capi),4496.0
2000,Bovini e bufalini,Numero (n capi),4433.0
2001,Bovini e bufalini,Numero (n capi),4259.0
2002,Bovini e bufalini,Numero (n capi),4340.0
2003,Bovini e bufalini,Numero (n capi),4216.0
2004,Bovini e bufalini,Numero (n capi),4210.0
2005,Bovini e bufalini,Numero (n capi),4106.0
2006,Bovini e bufalini,Numero (n capi),4050.0
2007,Bovini e bufalini,Numero (n capi),3979.0
2008,Bovini e bufalini,Numero (n capi),3833.0
2009,Bovini e bufalini,Numero (n capi),3838.0
2010,Bovini e bufalini,Numero (n capi),3862.0
1961,Bovini e bufalini,Peso (n morto),6214.0
1962,Bovini e bufalini,Peso (n morto),6680.0
1963,Bovini e bufalini,Peso (n morto),5244.0
1964,Bovini e bufalini,Peso (n morto),5293.0
1965,Bovini e bufalini,Peso (n morto),5771.0
1966,Bovini e bufalini,Peso (n morto),6911.0
1967,Bovini e bufalini,Peso (n morto),7150.0
1968,Bovini e bufalini,Peso (n morto),7824.0
1969,Bovini e bufalini,Peso (n morto),8310.0
1970,Bovini e bufalini,Peso (n morto),8272.0
1971,Bovini e bufalini,Peso (n morto),7667.0
1972,Bovini e bufalini,Peso (n morto),6415.0
1973,Bovini e bufalini,Peso (n morto),7509.0
1974,Bovini e bufalini,Peso (n morto),10755.0
1975,Bovini e bufalini,Peso (n morto),9654.0
1976,Bovini e bufalini,Peso (n morto),10176.0
1977,Bovini e bufalini,Peso (n morto),10519.0
1978,Bovini e bufalini,Peso (n morto),10268.0
1979,Bovini e bufalini,Peso (n morto),11056.0
1980,Bovini e bufalini,Peso (n morto),11479.0
1981,Bovini e bufalini,Peso (n morto),11108.0
1982,Bovini e bufalini,Peso (n morto),11070.0
1983,Bovini e bufalini,Peso (n morto),11490.0
1984,Bovini e bufalini,Peso (n morto),11819.0
1985,Bovini e bufalini,Peso (n morto),12048.0
1986,Bovini e bufalini,Peso (n morto),11800.0
1987,Bovini e bufalini,Peso (n morto),11745.0
1988,Bovini e bufalini,Peso (n morto),11641.0
1989,Bovini e bufalini,Peso (n morto),11459.0
1990,Bovini e bufalini,Peso (n morto),11653.0
1991,Bovini e bufalini,Peso (n morto),11816.0
1992,Bovini e bufalini,Peso (n morto),12175.0
1993,Bovini e bufalini,Peso (n morto),11877.0
1994,Bovini e bufalini,Peso (n morto),11712.0
1995,Bovini e bufalini,Peso (n morto),11809.0
1996,Bovini e bufalini,Peso (n morto),11820.0
1997,Bovini e bufalini,Peso (n morto),11611.0
1998,Bovini e bufalini,Peso (n morto),11127.0
1999,Bovini e bufalini,Peso (n morto),11648.0
2000,Bovini e bufalini,Peso (n morto),11534.0
2001,Bovini e bufalini,Peso (n morto),11330.0
2002,Bovini e bufalini,Peso (n morto),11348.0
2003,Bovini e bufalini,Peso (n morto),11282.0
2004,Bovini e bufalini,Peso (n morto),11483.0
2005,Bovini e bufalini,Peso (n morto),11081.0
2006,Bovini e bufalini,Peso (n morto),11103.0
2007,Bovini e bufalini,Peso (n morto),11226.0
2008,Bovini e bufalini,Peso (n morto),10593.0
2009,Bovini e bufalini,Peso (n morto),10550.0
2010,Bovini e bufalini,Peso (n morto),10753.0
1961,Ovini e caprini,Numero (n capi),5496.0
1962,Ovini e caprini,Numero (n capi),5752.0
1963,Ovini e caprini,Numero (n capi),5473.0
1964,Ovini e caprini,Numero (n capi),5301.0
1965,Ovini e caprini,Numero (n capi),5213.0
1966,Ovini e caprini,Numero (n capi),5387.0
1967,Ovini e caprini,Numero (n capi),5675.0
1968,Ovini e caprini,Numero (n capi),5917.0
1969,Ovini e caprini,Numero (n capi),5741.0
1970,Ovini e caprini,Numero (n capi),6057.0
1971,Ovini e caprini,Numero (n capi),5946.0
1972,Ovini e caprini,Numero (n capi),5762.0
1973,Ovini e caprini,Numero (n capi),5610.0
1974,Ovini e caprini,Numero (n capi),5775.0
1975,Ovini e caprini,Numero (n capi),5935.0
1976,Ovini e caprini,Numero (n capi),5920.0
1977,Ovini e caprini,Numero (n capi),5825.0
1978,Ovini e caprini,Numero (n capi),5765.0
1979,Ovini e caprini,Numero (n capi),7633.0
1980,Ovini e caprini,Numero (n capi),7982.0
1981,Ovini e caprini,Numero (n capi),7692.0
1982,Ovini e caprini,Numero (n capi),7527.0
1983,Ovini e caprini,Numero (n capi),7618.0
1984,Ovini e caprini,Numero (n capi),8047.0
1985,Ovini e caprini,Numero (n capi),8119.0
1986,Ovini e caprini,Numero (n capi),7959.0
1987,Ovini e caprini,Numero (n capi),8196.0
1988,Ovini e caprini,Numero (n capi),8467.0
1989,Ovini e caprini,Numero (n capi),9126.0
1990,Ovini e caprini,Numero (n capi),9582.0
1991,Ovini e caprini,Numero (n capi),9629.0
1992,Ovini e caprini,Numero (n capi),9655.0
1993,Ovini e caprini,Numero (n capi),8901.0
1994,Ovini e caprini,Numero (n capi),8553.0
1995,Ovini e caprini,Numero (n capi),8473.0
1996,Ovini e caprini,Numero (n capi),8362.0
1997,Ovini e caprini,Numero (n capi),8105.0
1998,Ovini e caprini,Numero (n capi),7806.0
1999,Ovini e caprini,Numero (n capi),7814.0
2000,Ovini e caprini,Numero (n capi),7420.0
2001,Ovini e caprini,Numero (n capi),7170.0
2002,Ovini e caprini,Numero (n capi),6935.0
2003,Ovini e caprini,Numero (n capi),6719.0
2004,Ovini e caprini,Numero (n capi),7027.0
2005,Ovini e caprini,Numero (n capi),6849.0
2006,Ovini e caprini,Numero (n capi),6899.0
2007,Ovini e caprini,Numero (n capi),6883.0
2008,Ovini e caprini,Numero (n capi),6501.0
2009,Ovini e caprini,Numero (n capi),6423.0
2010,Ovini e caprini,Numero (n capi),5988.0
1961,Ovini e caprini,Peso (n morto),418.0
1962,Ovini e caprini,Peso (n morto),442.0
1963,Ovini e caprini,Peso (n morto),420.0
1964,Ovini e caprini,Peso (n morto),396.0
1965,Ovini e caprini,Peso (n morto),379.0
1966,Ovini e caprini,Peso (n morto),392.0
1967,Ovini e caprini,Peso (n morto),424.0
1968,Ovini e caprini,Peso (n morto),437.0
1969,Ovini e caprini,Peso (n morto),427.0
1970,Ovini e caprini,Peso (n morto),452.0
1971,Ovini e caprini,Peso (n morto),443.0
1972,Ovini e caprini,Peso (n morto),419.0
1973,Ovini e caprini,Peso (n morto),424.0
1974,Ovini e caprini,Peso (n morto),606.0
1975,Ovini e caprini,Peso (n morto),647.0
1976,Ovini e caprini,Peso (n morto),621.0
1977,Ovini e caprini,Peso (n morto),648.0
1978,Ovini e caprini,Peso (n morto),632.0
1979,Ovini e caprini,Peso (n morto),680.0
1980,Ovini e caprini,Peso (n morto),717.0
1981,Ovini e caprini,Peso (n morto),687.0
1982,Ovini e caprini,Peso (n morto),677.0
1983,Ovini e caprini,Peso (n morto),674.0
1984,Ovini e caprini,Peso (n morto),706.0
1985,Ovini e caprini,Peso (n morto),700.0
1986,Ovini e caprini,Peso (n morto),674.0
1987,Ovini e caprini,Peso (n morto),704.0
1988,Ovini e caprini,Peso (n morto),729.0
1989,Ovini e caprini,Peso (n morto),791.0
1990,Ovini e caprini,Peso (n morto),847.0
1991,Ovini e caprini,Peso (n morto),848.0
1992,Ovini e caprini,Peso (n morto),860.0
1993,Ovini e caprini,Peso (n morto),808.0
1994,Ovini e caprini,Peso (n morto),789.0
1995,Ovini e caprini,Peso (n morto),765.0
1996,Ovini e caprini,Peso (n morto),776.0
1997,Ovini e caprini,Peso (n morto),758.0
1998,Ovini e caprini,Peso (n morto),733.0
1999,Ovini e caprini,Peso (n morto),734.0
2000,Ovini e caprini,Peso (n morto),690.0
2001,Ovini e caprini,Peso (n morto),661.0
2002,Ovini e caprini,Peso (n morto),629.0
2003,Ovini e caprini,Peso (n morto),616.0
2004,Ovini e caprini,Peso (n morto),628.0
2005,Ovini e caprini,Peso (n morto),616.0
2006,Ovini e caprini,Peso (n morto),614.0
2007,Ovini e caprini,Peso (n morto),613.0
2008,Ovini e caprini,Peso (n morto),597.0
2009,Ovini e caprini,Peso (n morto),590.0
2010,Ovini e caprini,Peso (n morto),543.0
1961,Suini,Numero (n capi),3869.0
1962,Suini,Numero (n capi),3688.0
1963,Suini,Numero (n capi),3463.0
1964,Suini,Numero (n capi),4503.0
1965,Suini,Numero (n capi),4609.0
1966,Suini,Numero (n capi),4056.0
1967,Suini,Numero (n capi),4270.0
1968,Suini,Numero (n capi),5168.0
1969,Suini,Numero (n capi),5167.0
1970,Suini,Numero (n capi),6939.0
1971,Suini,Numero (n capi),6454.0
1972,Suini,Numero (n capi),6622.0
1973,Suini,Numero (n capi),6840.0
1974,Suini,Numero (n capi),7605.0
1975,Suini,Numero (n capi),8170.0
1976,Suini,Numero (n capi),8388.0
1977,Suini,Numero (n capi),9169.0
1978,Suini,Numero (n capi),9621.0
1979,Suini,Numero (n capi),10041.0
1980,Suini,Numero (n capi),10285.0
1981,Suini,Numero (n capi),10535.0
1982,Suini,Numero (n capi),10542.0
1983,Suini,Numero (n capi),10952.0
1984,Suini,Numero (n capi),11447.0
1985,Suini,Numero (n capi),11229.0
1986,Suini,Numero (n capi),11073.0
1987,Suini,Numero (n capi),11444.0
1988,Suini,Numero (n capi),11737.0
1989,Suini,Numero (n capi),11972.0
1990,Suini,Numero (n capi),12134.0
1991,Suini,Numero (n capi),12189.0
1992,Suini,Numero (n capi),12259.0
1993,Suini,Numero (n capi),12241.0
1994,Suini,Numero (n capi),12135.0
1995,Suini,Numero (n capi),11992.0
1996,Suini,Numero (n capi),11944.0
1997,Suini,Numero (n capi),12164.0
1998,Suini,Numero (n capi),12571.0
1999,Suini,Numero (n capi),12992.0
2000,Suini,Numero (n capi),12920.0
2001,Suini,Numero (n capi),13153.0
2002,Suini,Numero (n capi),13267.0
2003,Suini,Numero (n capi),13576.0
2004,Suini,Numero (n capi),13583.0
2005,Suini,Numero (n capi),13010.0
2006,Suini,Numero (n capi),13380.0
2007,Suini,Numero (n capi),13596.0
2008,Suini,Numero (n capi),13616.0
2009,Suini,Numero (n capi),13594.0
2010,Suini,Numero (n capi),13764.0
1961,Suini,Peso (n morto),3946.0
1962,Suini,Peso (n morto),3811.0
1963,Suini,Peso (n morto),3654.0
1964,Suini,Peso (n morto),4704.0
1965,Suini,Peso (n morto),4745.0
1966,Suini,Peso (n morto),4254.0
1967,Suini,Peso (n morto),4508.0
1968,Suini,Peso (n morto),5391.0
1969,Suini,Peso (n morto),5281.0
1970,Suini,Peso (n morto),5647.0
1971,Suini,Peso (n morto),6115.0
1972,Suini,Peso (n morto),6248.0
1973,Suini,Peso (n morto),6594.0
1974,Suini,Peso (n morto),7380.0
1975,Suini,Peso (n morto),7867.0
1976,Suini,Peso (n morto),8159.0
1977,Suini,Peso (n morto),9041.0
1978,Suini,Peso (n morto),9666.0
1979,Suini,Peso (n morto),10334.0
1980,Suini,Peso (n morto),10855.0
1981,Suini,Peso (n morto),11058.0
1982,Suini,Peso (n morto),11081.0
1983,Suini,Peso (n morto),11659.0
1984,Suini,Peso (n morto),12181.0
1985,Suini,Peso (n morto),11869.0
1986,Suini,Peso (n morto),11722.0
1987,Suini,Peso (n morto),12306.0
1988,Suini,Peso (n morto),12691.0
1989,Suini,Peso (n morto),12953.0
1990,Suini,Peso (n morto),13330.0
1991,Suini,Peso (n morto),13328.0
1992,Suini,Peso (n morto),13419.0
1993,Suini,Peso (n morto),13713.0
1994,Suini,Peso (n morto),13693.0
1995,Suini,Peso (n morto),13456.0
1996,Suini,Peso (n morto),14103.0
1997,Suini,Peso (n morto),13958.0
1998,Suini,Peso (n morto),14122.0
1999,Suini,Peso (n morto),14717.0
2000,Suini,Peso (n morto),14784.0
2001,Suini,Peso (n morto),15096.0
2002,Suini,Peso (n morto),15367.0
2003,Suini,Peso (n morto),15887.0
2004,Suini,Peso (n morto),15899.0
2005,Suini,Peso (n morto),15147.0
2006,Suini,Peso (n morto),15592.0
2007,Suini,Peso (n morto),16033.0
2008,Suini,Peso (n morto),16060.0
2009,Suini,Peso (n morto),16280.0
2010,Suini,Peso (n morto),16730.0
1961,Equini,Numero (n capi),183.0
1962,Equini,Numero (n capi),177.0
1963,Equini,Numero (n capi),132.0
1964,Equini,Numero (n capi),120.0
1965,Equini,Numero (n capi),114.0
1966,Equini,Numero (n capi),117.0
1967,Equini,Numero (n capi),105.0
1968,Equini,Numero (n capi),131.0
1969,Equini,Numero (n capi),106.0
1970,Equini,Numero (n capi),148.0
1971,Equini,Numero (n capi),155.0
1972,Equini,Numero (n capi),99.0
1973,Equini,Numero (n capi),93.0
1974,Equini,Numero (n capi),268.0
1975,Equini,Numero (n capi),301.0
1976,Equini,Numero (n capi),310.0
1977,Equini,Numero (n capi),309.0
1978,Equini,Numero (n capi),320.0
1979,Equini,Numero (n capi),313.0
1980,Equini,Numero (n capi),282.0
1981,Equini,Numero (n capi),261.0
1982,Equini,Numero (n capi),232.0
1983,Equini,Numero (n capi),239.0
1984,Equini,Numero (n capi),256.0
1985,Equini,Numero (n capi),272.0
1986,Equini,Numero (n capi),263.0
1987,Equini,Numero (n capi),257.0
1988,Equini,Numero (n capi),252.0
1989,Equini,Numero (n capi),258.0
1990,Equini,Numero (n capi),259.0
1991,Equini,Numero (n capi),259.0
1992,Equini,Numero (n capi),276.0
1993,Equini,Numero (n capi),276.0
1994,Equini,Numero (n capi),268.0
1995,Equini,Numero (n capi),260.0
1996,Equini,Numero (n capi),248.0
1997,Equini,Numero (n capi),240.0
1998,Equini,Numero (n capi),227.0
1999,Equini,Numero (n capi),227.0
2000,Equini,Numero (n capi),235.0
2001,Equini,Numero (n capi),281.0
2002,Equini,Numero (n capi),199.0
2003,Equini,Numero (n capi),188.0
2004,Equini,Numero (n capi),202.0
2005,Equini,Numero (n capi),138.0
2006,Equini,Numero (n capi),167.0
2007,Equini,Numero (n capi),100.0
2008,Equini,Numero (n capi),99.0
2009,Equini,Numero (n capi),84.0
2010,Equini,Numero (n capi),67.0
1961,Equini,Peso (n morto),247.0
1962,Equini,Peso (n morto),219.0
1963,Equini,Peso (n morto),158.0
1964,Equini,Peso (n morto),142.0
1965,Equini,Peso (n morto),139.0
1966,Equini,Peso (n morto),139.0
1967,Equini,Peso (n morto),127.0
1968,Equini,Peso (n morto),157.0
1969,Equini,Peso (n morto),146.0
1970,Equini,Peso (n morto),200.0
1971,Equini,Peso (n morto),241.0
1972,Equini,Peso (n morto),151.0
1973,Equini,Peso (n morto),135.0
1974,Equini,Peso (n morto),458.0
1975,Equini,Peso (n morto),519.0
1976,Equini,Peso (n morto),577.0
1977,Equini,Peso (n morto),574.0
1978,Equini,Peso (n morto),590.0
1979,Equini,Peso (n morto),574.0
1980,Equini,Peso (n morto),522.0
1981,Equini,Peso (n morto),481.0
1982,Equini,Peso (n morto),447.0
1983,Equini,Peso (n morto),480.0
1984,Equini,Peso (n morto),516.0
1985,Equini,Peso (n morto),554.0
1986,Equini,Peso (n morto),545.0
1987,Equini,Peso (n morto),542.0
1988,Equini,Peso (n morto),533.0
1989,Equini,Peso (n morto),542.0
1990,Equini,Peso (n morto),570.0
1991,Equini,Peso (n morto),581.0
1992,Equini,Peso (n morto),621.0
1993,Equini,Peso (n morto),603.0
1994,Equini,Peso (n morto),581.0
1995,Equini,Peso (n morto),559.0
1996,Equini,Peso (n morto),537.0
1997,Equini,Peso (n morto),530.0
1998,Equini,Peso (n morto),504.0
1999,Equini,Peso (n morto),504.0
2000,Equini,Peso (n morto),510.0
2001,Equini,Peso (n morto),631.0
2002,Equini,Peso (n morto),457.0
2003,Equini,Peso (n morto),441.0
2004,Equini,Peso (n morto),484.0
2005,Equini,Peso (n morto),333.0
2006,Equini,Peso (n morto),412.0
2007,Equini,Peso (n morto),252.0
2008,Equini,Peso (n morto),247.0
2009,Equini,Peso (n morto),216.0
2010,Equini,Peso (n morto),179.0
1961,Pollame,Peso (n morto),2607.0
1962,Pollame,Peso (n morto),3076.0
1963,Pollame,Peso (n morto),3594.0
1964,Pollame,Peso (n morto),4284.0
1965,Pollame,Peso (n morto),5120.0
1966,Pollame,Peso (n morto),5535.0
1967,Pollame,Peso (n morto),5371.0
1968,Pollame,Peso (n morto),5322.0
1969,Pollame,Peso (n morto),5789.0
1970,Pollame,Peso (n morto),6264.0
1971,Pollame,Peso (n morto),6530.0
1972,Pollame,Peso (n morto),7094.0
1973,Pollame,Peso (n morto),7958.0
1974,Pollame,Peso (n morto),8329.0
1975,Pollame,Peso (n morto),8502.0
1976,Pollame,Peso (n morto),8969.0
1977,Pollame,Peso (n morto),9161.0
1978,Pollame,Peso (n morto),9566.0
1979,Pollame,Peso (n morto),9799.0
1980,Pollame,Peso (n morto),10144.0
1981,Pollame,Peso (n morto),10091.0
1982,Pollame,Peso (n morto),10403.0
1983,Pollame,Peso (n morto),10435.0
1984,Pollame,Peso (n morto),10192.0
1985,Pollame,Peso (n morto),9963.0
1986,Pollame,Peso (n morto),10083.0
1987,Pollame,Peso (n morto),10521.0
1988,Pollame,Peso (n morto),10722.0
1989,Pollame,Peso (n morto),10740.0
1990,Pollame,Peso (n morto),11040.0
1991,Pollame,Peso (n morto),10890.0
1992,Pollame,Peso (n morto),10947.0
1993,Pollame,Peso (n morto),10890.0
1994,Pollame,Peso (n morto),10941.0
1995,Pollame,Peso (n morto),10939.0
1996,Pollame,Peso (n morto),11192.0
1997,Pollame,Peso (n morto),11392.0
1998,Pollame,Peso (n morto),11504.0
1999,Pollame,Peso (n morto),11328.0
2000,Pollame,Peso (n morto),10888.0
2001,Pollame,Peso (n morto),11352.0
2002,Pollame,Peso (n morto),11690.0
2003,Pollame,Peso (n morto),11005.0
2004,Pollame,Peso (n morto),11335.0
2005,Pollame,Peso (n morto),10995.0
2006,Pollame,Peso (n morto),9842.0
2007,Pollame,Peso (n morto),11770.0
2008,Pollame,Peso (n morto),12371.0
2009,Pollame,Peso (n morto),12471.0
2010,Pollame,Peso (n morto),13190.0
1961,Conigli e selvaggina,Peso (n morto),543.0
1962,Conigli e selvaggina,Peso (n morto),568.0
1963,Conigli e selvaggina,Peso (n morto),632.0
1964,Conigli e selvaggina,Peso (n morto),654.0
1965,Conigli e selvaggina,Peso (n morto),701.0
1966,Conigli e selvaggina,Peso (n morto),762.0
1967,Conigli e selvaggina,Peso (n morto),792.0
1968,Conigli e selvaggina,Peso (n morto),822.0
1969,Conigli e selvaggina,Peso (n morto),870.0
1970,Conigli e selvaggina,Peso (n morto),942.0
1971,Conigli e selvaggina,Peso (n morto),1018.0
1972,Conigli e selvaggina,Peso (n morto),1140.0
1973,Conigli e selvaggina,Peso (n morto),1214.0
1974,Conigli e selvaggina,Peso (n morto),1342.0
1975,Conigli e selvaggina,Peso (n morto),1392.0
1976,Conigli e selvaggina,Peso (n morto),1402.0
1977,Conigli e selvaggina,Peso (n morto),1479.0
1978,Conigli e selvaggina,Peso (n morto),1581.0
1979,Conigli e selvaggina,Peso (n morto),1731.0
1980,Conigli e selvaggina,Peso (n morto),1835.0
1981,Conigli e selvaggina,Peso (n morto),1890.0
1982,Conigli e selvaggina,Peso (n morto),1914.0
1983,Conigli e selvaggina,Peso (n morto),1944.0
1984,Conigli e selvaggina,Peso (n morto),1971.0
1985,Conigli e selvaggina,Peso (n morto),2004.0
1986,Conigli e selvaggina,Peso (n morto),2028.0
1987,Conigli e selvaggina,Peso (n morto),2059.0
1988,Conigli e selvaggina,Peso (n morto),2155.0
1989,Conigli e selvaggina,Peso (n morto),2064.0
1990,Conigli e selvaggina,Peso (n morto),2029.0
1991,Conigli e selvaggina,Peso (n morto),2163.0
1992,Conigli e selvaggina,Peso (n morto),2234.0
1993,Conigli e selvaggina,Peso (n morto),2252.0
1994,Conigli e selvaggina,Peso (n morto),2303.0
1995,Conigli e selvaggina,Peso (n morto),2331.0
1996,Conigli e selvaggina,Peso (n morto),2375.0
1997,Conigli e selvaggina,Peso (n morto),2399.0
1998,Conigli e selvaggina,Peso (n morto),2412.0
1999,Conigli e selvaggina,Peso (n morto),2455.0
2000,Conigli e selvaggina,Peso (n morto),2435.0
2001,Conigli e selvaggina,Peso (n morto),2499.0
2002,Conigli e selvaggina,Peso (n morto),2521.0
2003,Conigli e selvaggina,Peso (n morto),2483.0
2004,Conigli e selvaggina,Peso (n morto),2888.0
2005,Conigli e selvaggina,Peso (n morto),3018.0
2006,Conigli e selvaggina,Peso (n morto),2970.0
2007,Conigli e selvaggina,Peso (n morto),3099.0
2008,Conigli e selvaggina,Peso (n morto),1825.0
2009,Conigli e selvaggina,Peso (n morto),1695.0
2010,Conigli e selvaggina,Peso (n morto),1674.0
2011,Bovini e bufalini,Numero (n capi),3616.0
2012,Bovini e bufalini,Numero (n capi),3529.0
2013,Bovini e bufalini,Numero (n capi),3065.0
2014,Bovini e bufalini,Numero (n capi),2590.0
2015,Bovini e bufalini,Numero (n capi),2712.0
2011,Bovini e bufalini,Peso (n morto),10110.0
2012,Bovini e bufalini,Peso (n morto),9817.0
2013,Bovini e bufalini,Peso (n morto),8540.0
2014,Bovini e bufalini,Peso (n morto),7094.0
2015,Bovini e bufalini,Peso (n morto),7883.0
2011,Ovini e caprini,Numero (n capi),5513.0
2012,Ovini e caprini,Numero (n capi),5352.0
2013,Ovini e caprini,Numero (n capi),3169.0
2014,Ovini e caprini,Numero (n capi),2650.0
2015,Ovini e caprini,Numero (n capi),2924.0
2011,Ovini e caprini,Peso (n morto),493.0
2012,Ovini e caprini,Peso (n morto),476.0
2013,Ovini e caprini,Peso (n morto),355.0
2014,Ovini e caprini,Peso (n morto),266.0
2015,Ovini e caprini,Peso (n morto),354.0
2011,Suini,Numero (n capi),13097.0
2012,Suini,Numero (n capi),13377.0
2013,Suini,Numero (n capi),13099.0
2014,Suini,Numero (n capi),10931.0
2015,Suini,Numero (n capi),11304.0
2011,Suini,Peso (n morto),16019.0
2012,Suini,Peso (n morto),16508.0
2013,Suini,Peso (n morto),16524.0
2014,Suini,Peso (n morto),13278.0
2015,Suini,Peso (n morto),14914.0
2011,Equini,Numero (n capi),62.0
2012,Equini,Numero (n capi),72.0
2013,Equini,Numero (n capi),53.0
2014,Equini,Numero (n capi),42.0
2015,Equini,Numero (n capi),35.0
2011,Equini,Peso (n morto),165.0
2012,Equini,Peso (n morto),181.0
2013,Equini,Peso (n morto),152.0
2014,Equini,Peso (n morto),109.0
2015,Equini,Peso (n morto),100.0
2011,Pollame,Peso (n morto),12116.0
2012,Pollame,Peso (n morto),12554.0
2013,Pollame,Peso (n morto),12255.0
2014,Pollame,Peso (n morto),12401.0
2015,Pollame,Peso (n morto),12923.34038
2011,Conigli e selvaggina,Peso (n morto),387.0
2012,Conigli e selvaggina,Peso (n morto),382.0
2013,Conigli e selvaggina,Peso (n morto),362.0
2014,Conigli e selvaggina,Peso (n morto),365.0
2015,Conigli e selvaggina,Peso (n morto),347.0
