id,label,parent,value
"A minor rischio, Quasi a rischio_Emydidae_Testuggine d'acqua_Emys orbicularis (Linnaeus, 1758)","Emys orbicularis (Linnaeus, 1758)","A minor rischio, Quasi a rischio_Emydidae_Testuggine d'acqua",3
"A minor rischio, Quasi a rischio_Gobiidae",Gobiidae,"A minor rischio, Quasi a rischio_",2
"A minor rischio, Quasi a rischio_Gobiidae_Giozzo padano",Giozzo padano,"A minor rischio, Quasi a rischio_Gobiidae",2
"A minor rischio, Quasi a rischio_Gobiidae_Giozzo padano_Podogobius martensi (Günther, 1861)","Podogobius martensi (Günther, 1861)","A minor rischio, Quasi a rischio_Gobiidae_Giozzo padano",2
"A minor rischio, Quasi a rischio_Hirudinidae",Hirudinidae,"A minor rischio, Quasi a rischio_",2
"A minor rischio, Quasi a rischio_Hirudinidae_Sanguisuga",Sanguisuga,"A minor rischio, Quasi a rischio_Hirudinidae",2
"A minor rischio, Quasi a rischio_Hirudinidae_Sanguisuga_Hirudo medicinalis (Linnaeus, 1758)","Hirudo medicinalis (Linnaeus, 1758)","A minor rischio, Quasi a rischio_Hirudinidae_Sanguisuga",2
"A minor rischio, Quasi a rischio_Hylidae",Hylidae,"A minor rischio, Quasi a rischio_",2
"A minor rischio, Quasi a rischio_Hylidae_Raganella comune",Raganella comune,"A minor rischio, Quasi a rischio_Hylidae",2
"A minor rischio, Quasi a rischio_Hylidae_Raganella comune_Hyla arborea (Linnaeus, 1758)","Hyla arborea (Linnaeus, 1758)","A minor rischio, Quasi a rischio_Hylidae_Raganella comune",2
"A minor rischio, Quasi a rischio_Hystricidae",Hystricidae,"A minor rischio, Quasi a rischio_",3
"A minor rischio, Quasi a rischio_Hystricidae_Istrice",Istrice,"A minor rischio, Quasi a rischio_Hystricidae",3
"A minor rischio, Quasi a rischio_Hystricidae_Istrice_Hystrix cristata  (Linnaeus, 1758)  ","Hystrix cristata  (Linnaeus, 1758)  ","A minor rischio, Quasi a rischio_Hystricidae_Istrice",3
"A minor rischio, Quasi a rischio_Lamnidae",Lamnidae,"A minor rischio, Quasi a rischio_",2
"A minor rischio, Quasi a rischio_Lamnidae_Smeriglio",Smeriglio,"A minor rischio, Quasi a rischio_Lamnidae",1
"A minor rischio, Quasi a rischio_Lamnidae_Smeriglio_Lamna nasus (Bonnaterre,1788)","Lamna nasus (Bonnaterre,1788)","A minor rischio, Quasi a rischio_Lamnidae_Smeriglio",1
"A minor rischio, Quasi a rischio_Lamnidae_Squalo mako",Squalo mako,"A minor rischio, Quasi a rischio_Lamnidae",1
"A minor rischio, Quasi a rischio_Lamnidae_Squalo mako_Isurus oxyrinchus Rafinesque, 1810","Isurus oxyrinchus Rafinesque, 1810","A minor rischio, Quasi a rischio_Lamnidae_Squalo mako",1
"A minor rischio, Quasi a rischio_Myoxidae",Myoxidae,"A minor rischio, Quasi a rischio_",8
"A minor rischio, Quasi a rischio_Myoxidae_Driomio",Driomio,"A minor rischio, Quasi a rischio_Myoxidae",3
"A minor rischio, Quasi a rischio_Myoxidae_Driomio_Dryomis nitedula (Pallas, 1779)","Dryomis nitedula (Pallas, 1779)","A minor rischio, Quasi a rischio_Myoxidae_Driomio",3
"A minor rischio, Quasi a rischio_Myoxidae_Ghiro",Ghiro,"A minor rischio, Quasi a rischio_Myoxidae",2
"A minor rischio, Quasi a rischio_Myoxidae_Ghiro_Myoxus glis (Linnaeus, 1766)  ","Myoxus glis (Linnaeus, 1766)  ","A minor rischio, Quasi a rischio_Myoxidae_Ghiro",2
"A minor rischio, Quasi a rischio_Myoxidae_Moscardino",Moscardino,"A minor rischio, Quasi a rischio_Myoxidae",3
"A minor rischio, Quasi a rischio_Myoxidae_Moscardino_Muscardinus avellanarius (Linnaeus, 1758) ","Muscardinus avellanarius (Linnaeus, 1758) ","A minor rischio, Quasi a rischio_Myoxidae_Moscardino",3
"A minor rischio, Quasi a rischio_Otididae",Otididae,"A minor rischio, Quasi a rischio_",4
"A minor rischio, Quasi a rischio_Otididae_Gallina prataiola",Gallina prataiola,"A minor rischio, Quasi a rischio_Otididae",4
"A minor rischio, Quasi a rischio_Otididae_Gallina prataiola_Tetrax tetrax (Linnaeus, 1758)","Tetrax tetrax (Linnaeus, 1758)","A minor rischio, Quasi a rischio_Otididae_Gallina prataiola",4
"A minor rischio, Quasi a rischio_Petromyzontidae",Petromyzontidae,"A minor rischio, Quasi a rischio_",5
"A minor rischio, Quasi a rischio_Petromyzontidae_Lampreda comune",Lampreda comune,"A minor rischio, Quasi a rischio_Petromyzontidae",2
"A minor rischio, Quasi a rischio_Petromyzontidae_Lampreda comune_Lampetra planeri (Bloch, 1784)","Lampetra planeri (Bloch, 1784)","A minor rischio, Quasi a rischio_Petromyzontidae_Lampreda comune",2
"A minor rischio, Quasi a rischio_Petromyzontidae_Lampreda di fiume",Lampreda di fiume,"A minor rischio, Quasi a rischio_Petromyzontidae",3
"A minor rischio, Quasi a rischio_Petromyzontidae_Lampreda di fiume_Lampetra fluviatilis (Linnaeus, 1758)","Lampetra fluviatilis (Linnaeus, 1758)","A minor rischio, Quasi a rischio_Petromyzontidae_Lampreda di fiume",3
"A minor rischio, Quasi a rischio_Phalacrocoracidae",Phalacrocoracidae,"A minor rischio, Quasi a rischio_",4
"A minor rischio, Quasi a rischio_Phalacrocoracidae_Marangone minore",Marangone minore,"A minor rischio, Quasi a rischio_Phalacrocoracidae",4
"A minor rischio, Quasi a rischio_Phalacrocoracidae_Marangone minore_Phalacrocorax  pygmeus (Pallas, 1773)","Phalacrocorax  pygmeus (Pallas, 1773)","A minor rischio, Quasi a rischio_Phalacrocoracidae_Marangone minore",4
"A minor rischio, Quasi a rischio_Plethodontidae",Plethodontidae,"A minor rischio, Quasi a rischio_",8
"A minor rischio, Quasi a rischio_Plethodontidae_Geotritone di Gené",Geotritone di Gené,"A minor rischio, Quasi a rischio_Plethodontidae",4
"A minor rischio, Quasi a rischio_Plethodontidae_Geotritone di Gené_Speleomantes genei (Temminck & Schlegel, 1838)","Speleomantes genei (Temminck & Schlegel, 1838)","A minor rischio, Quasi a rischio_Plethodontidae_Geotritone di Gené",4
"A minor rischio, Quasi a rischio_Plethodontidae_Geotritone imperiale",Geotritone imperiale,"A minor rischio, Quasi a rischio_Plethodontidae",4
"A minor rischio, Quasi a rischio_Plethodontidae_Geotritone imperiale_Speleomantes imperialis (Stefani, 1969)","Speleomantes imperialis (Stefani, 1969)","A minor rischio, Quasi a rischio_Plethodontidae_Geotritone imperiale",4
"A minor rischio, Quasi a rischio_Ranidae",Ranidae,"A minor rischio, Quasi a rischio_",4
"A minor rischio, Quasi a rischio_Ranidae_Rana di Lataste",Rana di Lataste,"A minor rischio, Quasi a rischio_Ranidae",4
"A minor rischio, Quasi a rischio_Ranidae_Rana di Lataste_Rana latastei Boulenger, 1879","Rana latastei Boulenger, 1879","A minor rischio, Quasi a rischio_Ranidae_Rana di Lataste",4
"A minor rischio, Quasi a rischio_Rhinolophidae",Rhinolophidae,"A minor rischio, Quasi a rischio_",5
"A minor rischio, Quasi a rischio_Rhinolophidae_Ferro di cavallo di Blasius",Ferro di cavallo di Blasius,"A minor rischio, Quasi a rischio_Rhinolophidae",5
"A minor rischio, Quasi a rischio_Rhinolophidae_Ferro di cavallo di Blasius_Rhinolophus blasii Peters, 1866","Rhinolophus blasii Peters, 1866","A minor rischio, Quasi a rischio_Rhinolophidae_Ferro di cavallo di Blasius",5
"A minor rischio, Quasi a rischio_Salamandridae",Salamandridae,"A minor rischio, Quasi a rischio_",11
"A minor rischio, Quasi a rischio_Salamandridae_Geotritone del Supramonte",Geotritone del Supramonte,"A minor rischio, Quasi a rischio_Salamandridae",3
"A minor rischio, Quasi a rischio_Salamandridae_Geotritone del Supramonte_Speleomantes supramonti (Lanza, Nascetti & Bullini, 1986)","Speleomantes supramonti (Lanza, Nascetti & Bullini, 1986)","A minor rischio, Quasi a rischio_Salamandridae_Geotritone del Supramonte",3
"A minor rischio, Quasi a rischio_Salamandridae_Geotritone dell'Iglesiente",Geotritone dell'Iglesiente,"A minor rischio, Quasi a rischio_Salamandridae",4
"A minor rischio, Quasi a rischio_Salamandridae_Geotritone dell'Iglesiente_Speleomantes genei (Temminck & Schlegel, 1838)","Speleomantes genei (Temminck & Schlegel, 1838)","A minor rischio, Quasi a rischio_Salamandridae_Geotritone dell'Iglesiente",4
"A minor rischio, Quasi a rischio_Salamandridae_Geotritone odoroso",Geotritone odoroso,"A minor rischio, Quasi a rischio_Salamandridae",4
"A minor rischio, Quasi a rischio_Salamandridae_Geotritone odoroso_Speleomantes imperialis (Stefani, 1969)","Speleomantes imperialis (Stefani, 1969)","A minor rischio, Quasi a rischio_Salamandridae_Geotritone odoroso",4
"A minor rischio, Quasi a rischio_Testudinidae",Testudinidae,"A minor rischio, Quasi a rischio_",4
"A minor rischio, Quasi a rischio_Testudinidae_Testuggine comune",Testuggine comune,"A minor rischio, Quasi a rischio_Testudinidae",4
"A minor rischio, Quasi a rischio_Testudinidae_Testuggine comune_Testudo hermanni Gmelin, 1789","Testudo hermanni Gmelin, 1789","A minor rischio, Quasi a rischio_Testudinidae_Testuggine comune",4
"A minor rischio, Quasi a rischio_Vespertilionidae",Vespertilionidae,"A minor rischio, Quasi a rischio_",18
"A minor rischio, Quasi a rischio_Vespertilionidae_Miniottero",Miniottero,"A minor rischio, Quasi a rischio_Vespertilionidae",5
"A minor rischio, Quasi a rischio_Vespertilionidae_Miniottero_Miniopterus schreibersi (Natterer in Kuhl, 1819) ","Miniopterus schreibersi (Natterer in Kuhl, 1819) ","A minor rischio, Quasi a rischio_Vespertilionidae_Miniottero",5
"A minor rischio, Quasi a rischio_Vespertilionidae_Nottola di Leisler",Nottola di Leisler,"A minor rischio, Quasi a rischio_Vespertilionidae",4
"A minor rischio, Quasi a rischio_Vespertilionidae_Nottola di Leisler_Nyctalus leisleri (Kuhl, 1818) ","Nyctalus leisleri (Kuhl, 1818) ","A minor rischio, Quasi a rischio_Vespertilionidae_Nottola di Leisler",4
"A minor rischio, Quasi a rischio_Vespertilionidae_Nottola gigante",Nottola gigante,"A minor rischio, Quasi a rischio_Vespertilionidae",4
"A minor rischio, Quasi a rischio_Vespertilionidae_Nottola gigante_Nyctalus lasiopterus (Schreber, 1780) ","Nyctalus lasiopterus (Schreber, 1780) ","A minor rischio, Quasi a rischio_Vespertilionidae_Nottola gigante",4
"A minor rischio, Quasi a rischio_Vespertilionidae_Vespertilio maggiore",Vespertilio maggiore,"A minor rischio, Quasi a rischio_Vespertilionidae",5
"A minor rischio, Quasi a rischio_Vespertilionidae_Vespertilio maggiore_Myotis myotis (Borkhausen, 1797)","Myotis myotis (Borkhausen, 1797)","A minor rischio, Quasi a rischio_Vespertilionidae_Vespertilio maggiore",5
Dati insufficienti_,Dati insufficienti,,48
Dati insufficienti_Clupeidae,Clupeidae,Dati insufficienti_,6
Dati insufficienti_Clupeidae_Alosa,Alosa,Dati insufficienti_Clupeidae,3
"Dati insufficienti_Clupeidae_Alosa_Alosa alosa (Linnaeus, 1758)","Alosa alosa (Linnaeus, 1758)",Dati insufficienti_Clupeidae_Alosa,3
Dati insufficienti_Clupeidae_Cheppia,Cheppia,Dati insufficienti_Clupeidae,3
"Dati insufficienti_Clupeidae_Cheppia_Alosa  fallax (Lacépède, 1803)","Alosa  fallax (Lacépède, 1803)",Dati insufficienti_Clupeidae_Cheppia,3
Dati insufficienti_Colubridae,Colubridae,Dati insufficienti_,3
Dati insufficienti_Colubridae_Colubro leopardino,Colubro leopardino,Dati insufficienti_Colubridae,3
"Dati insufficienti_Colubridae_Colubro leopardino_Elaphe situla (Linnaeus, 1758) ","Elaphe situla (Linnaeus, 1758) ",Dati insufficienti_Colubridae_Colubro leopardino,3
Dati insufficienti_Cyprinidae,Cyprinidae,Dati insufficienti_,2
Dati insufficienti_Cyprinidae_Pigo,Pigo,Dati insufficienti_Cyprinidae,2
"Dati insufficienti_Cyprinidae_Pigo_Rutilus pigus (Lacépède, 1804)","Rutilus pigus (Lacépède, 1804)",Dati insufficienti_Cyprinidae_Pigo,2
Dati insufficienti_Cyprinodontidae,Cyprinodontidae,Dati insufficienti_,3
Dati insufficienti_Cyprinodontidae_Nono,Nono,Dati insufficienti_Cyprinodontidae,3
"Dati insufficienti_Cyprinodontidae_Nono_Aphanius fasciatus Nardo, 1827","Aphanius fasciatus Nardo, 1827",Dati insufficienti_Cyprinodontidae_Nono,3
Dati insufficienti_Delphinidae,Delphinidae,Dati insufficienti_,13
Dati insufficienti_Delphinidae_Grampo,Grampo,Dati insufficienti_Delphinidae,4
"Dati insufficienti_Delphinidae_Grampo_Grampus griseus (Cuvier G., 1812)","Grampus griseus (Cuvier G., 1812)",Dati insufficienti_Delphinidae_Grampo,4
Dati insufficienti_Delphinidae_Steno,Steno,Dati insufficienti_Delphinidae,4
"Dati insufficienti_Delphinidae_Steno_Steno bredanensis (Lesson, 1828)","Steno bredanensis (Lesson, 1828)",Dati insufficienti_Delphinidae_Steno,4
Dati insufficienti_Delphinidae_Tursiope,Tursiope,Dati insufficienti_Delphinidae,5
"Dati insufficienti_Delphinidae_Tursiope_Tursiops truncatus (Montagu, 1821)","Tursiops truncatus (Montagu, 1821)",Dati insufficienti_Delphinidae_Tursiope,5
Dati insufficienti_Gobiidae,Gobiidae,Dati insufficienti_,5
Dati insufficienti_Gobiidae_Ghiozzetto cenerino,Ghiozzetto cenerino,Dati insufficienti_Gobiidae,3
