id,label,parent,value
Minacciato_Petromyzontidae,Petromyzontidae,Minacciato_,7
Minacciato_Petromyzontidae_Lampreda di ruscello,Lampreda di ruscello,Minacciato_Petromyzontidae,4
"Minacciato_Petromyzontidae_Lampreda di ruscello_Lethenteron zanandreai (Vladykov, 1955)","Lethenteron zanandreai (Vladykov, 1955)",Minacciato_Petromyzontidae_Lampreda di ruscello,4
Minacciato_Petromyzontidae_Lampreda padana,Lampreda padana,Minacciato_Petromyzontidae,3
"Minacciato_Petromyzontidae_Lampreda padana_Lampetra zanandreai (Vladykov, 1955)","Lampetra zanandreai (Vladykov, 1955)",Minacciato_Petromyzontidae_Lampreda padana,3
Minacciato_Viperidae,Viperidae,Minacciato_,4
Minacciato_Viperidae_Vipera dell'Orsini,Vipera dell'Orsini,Minacciato_Viperidae,4
"Minacciato_Viperidae_Vipera dell'Orsini_Vipera ursinii (Bonaparte, 1835)","Vipera ursinii (Bonaparte, 1835)",Minacciato_Viperidae_Vipera dell'Orsini,4
Quasi a rischio_,Quasi a rischio,,7
Quasi a rischio_Felidae,Felidae,Quasi a rischio_,5
Quasi a rischio_Felidae_Lince eurasiatica,Lince eurasiatica,Quasi a rischio_Felidae,5
"Quasi a rischio_Felidae_Lince eurasiatica_Linx linx (Linnaeus, 1758)  ","Linx linx (Linnaeus, 1758)  ",Quasi a rischio_Felidae_Lince eurasiatica,5
Quasi a rischio_Sciuridae,Sciuridae,Quasi a rischio_,2
Quasi a rischio_Sciuridae_Scoiattolo,Scoiattolo,Quasi a rischio_Sciuridae,2
"Quasi a rischio_Sciuridae_Scoiattolo_Sciurus vulgaris Linnaeus, 1758","Sciurus vulgaris Linnaeus, 1758",Quasi a rischio_Sciuridae_Scoiattolo,2
Vulnerabile_,Vulnerabile,,143
Vulnerabile_Accipitridae,Accipitridae,Vulnerabile_,5
Vulnerabile_Accipitridae_Aquila anatraia maggiore,Aquila anatraia maggiore,Vulnerabile_Accipitridae,5
"Vulnerabile_Accipitridae_Aquila anatraia maggiore_Aquila clanga Pallas, 1811","Aquila clanga Pallas, 1811",Vulnerabile_Accipitridae_Aquila anatraia maggiore,5
Vulnerabile_Acipenseridae,Acipenseridae,Vulnerabile_,6
Vulnerabile_Acipenseridae_Storione cobice,Storione cobice,Vulnerabile_Acipenseridae,6
"Vulnerabile_Acipenseridae_Storione cobice_Acipenser naccarii   * Bonaparte,1836","Acipenser naccarii   * Bonaparte,1836",Vulnerabile_Acipenseridae_Storione cobice,6
Vulnerabile_Anatidae,Anatidae,Vulnerabile_,9
