Sport,Sesso,Età,Anno,Valori
Arti marziali e sport di combattimento,M,35-59,2006,115
Arti marziali e sport di combattimento,M,60+,2006,5
Arti marziali e sport di combattimento,M,Totale,2006,482
Arti marziali e sport di combattimento,M,3-10,2015,167
Arti marziali e sport di combattimento,M,11-19,2015,199
Arti marziali e sport di combattimento,M,20-34,2015,172
Arti marziali e sport di combattimento,M,35-59,2015,157
Arti marziali e sport di combattimento,M,60+,2015,18
Arti marziali e sport di combattimento,M,Totale,2015,713
Pallacanestro,M,3-10,2006,112
Pallacanestro,M,11-19,2006,213
Pallacanestro,M,20-34,2006,124
Pallacanestro,M,35-59,2006,64
Pallacanestro,M,60+,2006,-
Pallacanestro,M,Totale,2006,512
Pallacanestro,M,3-10,2015,133
Pallacanestro,M,11-19,2015,223
Pallacanestro,M,20-34,2015,175
Pallacanestro,M,35-59,2015,106
Pallacanestro,M,60+,2015,16
Pallacanestro,M,Totale,2015,653
Caccia,M,3-10,2006,-
Caccia,M,11-19,2006,1
Caccia,M,20-34,2006,32
Caccia,M,35-59,2006,141
Caccia,M,60+,2006,85
Caccia,M,Totale,2006,260
Caccia,M,3-10,2015,-
Caccia,M,11-19,2015,1
Caccia,M,20-34,2015,16
Caccia,M,35-59,2015,115
Caccia,M,60+,2015,127
Caccia,M,Totale,2015,260
Pesca,M,3-10,2006,1
Pesca,M,11-19,2006,14
Pesca,M,20-34,2006,55
Pesca,M,35-59,2006,179
Pesca,M,60+,2006,74
Pesca,M,Totale,2006,324
Pesca,M,3-10,2015,-
Pesca,M,11-19,2015,13
Pesca,M,20-34,2015,30
Pesca,M,35-59,2015,163
Pesca,M,60+,2015,99
Pesca,M,Totale,2015,305
"Bocce, bowling, biliardo",M,3-10,2006,-
"Bocce, bowling, biliardo",M,11-19,2006,4
"Bocce, bowling, biliardo",M,20-34,2006,14
"Bocce, bowling, biliardo",M,35-59,2006,61
"Bocce, bowling, biliardo",M,60+,2006,78
"Bocce, bowling, biliardo",M,Totale,2006,157
"Bocce, bowling, biliardo",M,3-10,2015,9
"Bocce, bowling, biliardo",M,11-19,2015,24
"Bocce, bowling, biliardo",M,20-34,2015,24
"Bocce, bowling, biliardo",M,35-59,2015,66
"Bocce, bowling, biliardo",M,60+,2015,93
"Bocce, bowling, biliardo",M,Totale,2015,216
"Altri sport (sport nautici, altri sport con la palla, altro)",M,3-10,2006,24
"Altri sport (sport nautici, altri sport con la palla, altro)",M,11-19,2006,113
