Province,Numero (montagna),Superficie (montagna),Numero (collina),Superficie (collina),Numero (pianura),Superficie (pianura),Numero (totale),Superficie (totale),Anno,Tavola
Sicilia,20,7.637,27,42.707,2,165,49,50.509,2007,Tavola 1
Sardegna,6,4.563,61,28.664,9,4.004,76,37.231,2007,Tavola 1
Piemonte,82,65.985,59,14.660,50,17.978,191,98.623,2007,Tavola 2
Valle d'Aosta/Vallée d'Aoste,12,11.291,-,-,-,-,12,11.291,2007,Tavola 2
Lombardia,84,41.820,38,13.523,57,12.921,179,68.264,2007,Tavola 2
Trento,-,-,-,-,-,-,-,-,2007,Tavola 2
Veneto,36,10.816,19,2.694,109,32.387,164,45.897,2007,Tavola 2
Friuli-Venezia Giulia,2,2.488,-,-,6,933,8,3.421,2007,Tavola 2
Liguria,13,18.669,8,4.944,-,-,21,23.613,2007,Tavola 2
Toscana,40,57.013,80,39.107,6,17.162,126,113.282,2007,Tavola 2
Umbria,4,2.310,14,7.765,-,-,18,10.075,2007,Tavola 2
Marche,10,12.185,16,5.928,-,-,26,18.113,2007,Tavola 2
Lazio,10,27.661,18,14.052,2,666,30,42.379,2007,Tavola 2
Abruzzo,3,270,9,1.364,-,-,12,1.634,2007,Tavola 2
Molise,4,2.433,11,8.032,-,-,15,10.465,2007,Tavola 2
Campania,1,1.500,6,3.104,3,3.878,10,8.482,2007,Tavola 2
Puglia,1,317,26,21.663,36,21.259,63,43.239,2007,Tavola 2
Basilicata,10,11.775,3,3.319,2,2.794,15,17.888,2007,Tavola 2
Calabria,1,781,2,913,1,15,4,1.709,2007,Tavola 2
Sicilia,2,1.041,13,12.165,6,6.106,21,19.312,2007,Tavola 2
Sardegna,6,12.629,37,47.884,27,38.767,70,99.280,2007,Tavola 2
Piemonte,33,15.358,142,87.897,112,83.388,287,186.643,2007,Tavola 3
Valle d'Aosta/Vallée d'Aoste,-,-,-,-,-,-,-,-,2007,Tavola 3
Lombardia,40,24.178,20,9.824,242,114.442,302,148.444,2007,Tavola 3
Trento,3,317,-,-,-,-,3,317,2007,Tavola 3
Veneto,2,133,58,16.058,262,108.740,322,124.931,2007,Tavola 3
Friuli-Venezia Giulia,1,1.618,-,-,-,-,1,1.618,2007,Tavola 3
Liguria,48,34.867,16,6.939,-,-,64,41.806,2007,Tavola 3
Toscana,20,11.187,148,123.071,13,8.728,181,142.986,2007,Tavola 3
Umbria,5,4.717,54,40.342,-,-,59,45.059,2007,Tavola 3
Marche,16,11.252,105,67.658,-,-,121,78.910,2007,Tavola 3
Lazio,5,5.448,21,19.938,5,5.188,31,30.574,2007,Tavola 3
Abruzzo,6,5.645,35,34.936,-,-,41,40.581,2007,Tavola 3
Molise,13,17.021,11,13.074,-,-,24,30.095,2007,Tavola 3
Campania,15,16.624,11,13.618,2,2.122,28,32.364,2007,Tavola 3
Puglia,2,2.020,14,17.468,14,23.782,30,43.270,2007,Tavola 3
Basilicata,-,-,1,400,-,-,1,400,2007,Tavola 3
Calabria,-,-,-,-,-,-,-,-,2007,Tavola 3
Sicilia,1,706,6,3.365,1,890,8,4.961,2007,Tavola 3
Sardegna,2,2.033,40,33.036,21,17.869,63,52.938,2007,Tavola 3
