Province,Numero (montagna),Superficie (montagna),Numero (collina),Superficie (collina),Numero (pianura),Superficie (pianura),Numero (totale),Superficie (totale),Anno,Tavola
Puglia,1,1.152,2,2.178,15,8.065,18,11.395,2002,Tavola 1
Basilicata,1,300,-,-,-,-,1,300,2002,Tavola 1
Calabria,-,-,1,500,-,-,1,500,2002,Tavola 1
Sicilia,18,6.886,20,5.527,1,225,39,12.638,2002,Tavola 1
Sardegna,17,24.912,103,136.036,28,33.160,148,194.108,2002,Tavola 1
Piemonte,108,79.410,60,22.149,47,20.205,215,121.764,2002,Tavola 2
Valle d'Aosta/Vallée d'Aoste,18,35.757,-,-,-,-,18,35.757,2002,Tavola 2
Lombardia,86,29.353,39,11.730,51,13.949,176,55.032,2002,Tavola 2
Trento,1,244,-,-,-,-,1,244,2002,Tavola 2
Veneto,31,12.850,9,2.759,91,33.927,131,49.536,2002,Tavola 2
Friuli-Venezia Giulia,2,2.488,-,-,6,933,8,3.421,2002,Tavola 2
Liguria,22,25.173,12,5.443,-,-,34,30.616,2002,Tavola 2
Toscana,30,40.936,35,20.839,1,1.185,66,62.960,2002,Tavola 2
Umbria,10,6.230,14,6.972,-,-,24,13.202,2002,Tavola 2
Marche,9,11.129,16,6.218,-,-,25,17.347,2002,Tavola 2
Lazio,7,20.490,21,17.245,4,2.905,32,40.640,2002,Tavola 2
Abruzzo,3,210,8,1.129,-,-,11,1.339,2002,Tavola 2
Molise,3,3.544,10,6.988,-,-,13,10.532,2002,Tavola 2
Campania,2,1.600,7,6.032,3,4.200,12,11.832,2002,Tavola 2
Puglia,-,-,27,57.220,37,21.559,64,78.779,2002,Tavola 2
Basilicata,10,19.097,9,16.356,2,3.732,21,39.185,2002,Tavola 2
Calabria,3,2.273,2,2.095,1,15,6,4.383,2002,Tavola 2
Sicilia,2,1.041,13,12.932,4,2.081,19,16.054,2002,Tavola 2
Sardegna,9,17.666,58,72.557,26,29.974,93,120.197,2002,Tavola 2
Piemonte,38,21.048,142,86.708,104,76.281,284,184.037,2002,Tavola 3
Valle d'Aosta/Vallée d'Aoste,-,-,-,-,-,-,-,-,2002,Tavola 3
Lombardia,29,20.451,18,9.121,174,104.940,221,134.512,2002,Tavola 3
Trento,2,261,-,-,-,-,2,261,2002,Tavola 3
Veneto,3,410,56,15.214,187,103.373,246,118.997,2002,Tavola 3
Friuli-Venezia Giulia,1,1.618,-,-,-,-,1,1.618,2002,Tavola 3
Liguria,56,41.113,16,6.798,-,-,72,47.911,2002,Tavola 3
Toscana,13,12.072,146,121.696,9,7.609,168,141.377,2002,Tavola 3
Umbria,2,2.433,43,36.384,-,-,45,38.817,2002,Tavola 3
Marche,12,10.030,82,73.370,-,-,94,83.400,2002,Tavola 3
Lazio,3,2.766,39,28.756,4,2.889,46,34.411,2002,Tavola 3
Abruzzo,5,4.336,38,38.779,-,-,43,43.115,2002,Tavola 3
Molise,14,15.613,12,16.756,-,-,26,32.369,2002,Tavola 3
Campania,18,22.150,9,12.517,4,6.750,31,41.417,2002,Tavola 3
Puglia,2,2.020,20,29.108,14,23.682,36,54.810,2002,Tavola 3
Basilicata,-,-,-,-,-,-,-,-,2002,Tavola 3
Calabria,-,-,-,-,-,-,-,-,2002,Tavola 3
Sicilia,1,1.680,8,9.527,1,890,10,12.097,2002,Tavola 3
Sardegna,-,-,15,15.494,8,7.888,23,23.382,2002,Tavola 3
Piemonte,17,39.129,29,42.846,45,40.916,91,122.891,2003,Tavola 1
Valle d'Aosta/Vallée d'Aoste,3,15.356,-,-,-,-,3,15.356,2003,Tavola 1
Lombardia,11,22.876,18,9.609,137,41.238,166,73.723,2003,Tavola 1
Trento,6,6.870,-,-,-,-,6,6.870,2003,Tavola 1
Veneto,7,6.451,23,11.755,151,55.080,181,73.286,2003,Tavola 1
Friuli-Venezia Giulia,5,2.474,2,1.190,34,13.179,41,16.843,2003,Tavola 1
Liguria,4,6.402,1,300,-,-,5,6.702,2003,Tavola 1
Toscana,35,26.041,250,160.225,11,7.149,296,193.415,2003,Tavola 1
Umbria,18,11.876,59,23.759,-,-,77,35.635,2003,Tavola 1
Marche,23,19.662,32,22.872,-,-,55,42.534,2003,Tavola 1
Lazio,23,40.775,60,81.186,10,7.022,93,128.983,2003,Tavola 1
Abruzzo,8,21.674,1,475,-,-,9,22.149,2003,Tavola 1
Molise,2,780,-,-,-,-,2,780,2003,Tavola 1
Campania,1,341,10,5.541,2,1.137,13,7.019,2003,Tavola 1
Puglia,1,1.152,3,2.826,15,8.065,19,12.043,2003,Tavola 1
Basilicata,1,300,2,994,1,365,4,1.659,2003,Tavola 1
Calabria,2,21,6,51,-,-,8,72,2003,Tavola 1
Sicilia,19,7.418,23,5.475,1,225,43,13.118,2003,Tavola 1
Sardegna,28,35.845,209,199.837,44,45.455,281,281.137,2003,Tavola 1
Piemonte,85,67.544,54,17.619,52,18.616,191,103.779,2003,Tavola 2
Valle d'Aosta/Vallée d'Aoste,16,26.324,-,-,-,-,16,26.324,2003,Tavola 2
Lombardia,71,25.287,31,8.533,46,10.297,148,44.117,2003,Tavola 2
Trento,1,244,-,-,-,-,1,244,2003,Tavola 2
Veneto,31,12.850,15,3.247,90,33.422,136,49.519,2003,Tavola 2
Friuli-Venezia Giulia,2,2.488,-,-,6,933,8,3.421,2003,Tavola 2
Liguria,22,25.100,8,5.167,-,-,30,30.267,2003,Tavola 2
Toscana,45,60.179,71,37.377,6,18.102,122,115.658,2003,Tavola 2
Umbria,5,4.001,14,8.104,-,-,19,12.105,2003,Tavola 2
Marche,9,11.129,16,6.218,-,-,25,17.347,2003,Tavola 2
Lazio,7,20.490,20,17.281,6,5.052,33,42.823,2003,Tavola 2
Abruzzo,3,210,8,1.129,-,-,11,1.339,2003,Tavola 2
Molise,3,3.544,10,6.988,-,-,13,10.532,2003,Tavola 2
Campania,1,1.500,6,4.832,2,2.300,9,8.632,2003,Tavola 2
Puglia,-,-,28,57.380,37,21.559,65,78.939,2003,Tavola 2
Basilicata,8,1.560,4,2.800,1,800,13,5.160,2003,Tavola 2
Calabria,1,781,2,877,1,15,4,1.673,2003,Tavola 2
Sicilia,2,1.041,15,16.190,4,2.081,21,19.312,2003,Tavola 2
Sardegna,9,17.666,56,64.603,26,33.767,91,116.036,2003,Tavola 2
Piemonte,30,14.586,137,84.808,112,86.849,279,186.243,2003,Tavola 3
Valle d'Aosta/Vallée d'Aoste,-,-,-,-,-,-,-,-,2003,Tavola 3
Lombardia,27,19.485,14,8.373,182,105.733,223,133.591,2003,Tavola 3
Trento,2,261,-,-,-,-,2,261,2003,Tavola 3
Veneto,3,410,56,15.214,187,103.373,246,118.997,2003,Tavola 3
Friuli-Venezia Giulia,1,1.618,-,-,-,-,1,1.618,2003,Tavola 3
Liguria,53,40.521,16,6.971,-,-,69,47.492,2003,Tavola 3
Toscana,13,10.658,149,122.081,10,7.800,172,140.539,2003,Tavola 3
Umbria,4,4.060,48,39.209,-,-,52,43.269,2003,Tavola 3
Marche,12,9.956,84,76.063,-,-,96,86.019,2003,Tavola 3
Lazio,5,5.448,21,19.937,4,3.248,30,28.633,2003,Tavola 3
Abruzzo,4,3.236,38,38.779,-,-,42,42.015,2003,Tavola 3
Molise,14,16.558,12,14.865,-,-,26,31.423,2003,Tavola 3
Campania,16,17.800,9,8.842,2,1.700,27,28.342,2003,Tavola 3
Puglia,2,2.020,20,29.108,14,23.682,36,54.810,2003,Tavola 3
Basilicata,-,-,1,400,-,-,1,400,2003,Tavola 3
Calabria,-,-,-,-,-,-,-,-,2003,Tavola 3
Sicilia,1,700,5,3.345,1,890,7,4.935,2003,Tavola 3
Sardegna,-,-,37,32.831,20,17.543,57,50.374,2003,Tavola 3
Piemonte,15,37.451,30,43.381,48,43.155,93,123.987,2004,Tavola 1
Valle d'Aosta/Vallée d'Aoste,3,15.356,-,-,-,-,3,15.356,2004,Tavola 1
Lombardia,11,22.640,19,9.534,136,39.553,166,71.727,2004,Tavola 1
Trento,6,6.870,-,-,-,-,6,6.870,2004,Tavola 1
Veneto,7,6.450,20,11.634,150,55.129,177,73.213,2004,Tavola 1
Friuli-Venezia Giulia,5,2.474,2,1.190,35,13.429,42,17.093,2004,Tavola 1
Liguria,4,6.402,1,300,-,-,5,6.702,2004,Tavola 1
Toscana,37,27.985,251,160.433,11,7.170,299,195.588,2004,Tavola 1
Umbria,18,11.876,59,23.839,-,-,77,35.715,2004,Tavola 1
Marche,23,19.662,33,23.295,-,-,56,42.957,2004,Tavola 1
Lazio,26,45.352,63,84.182,9,5.669,98,135.203,2004,Tavola 1
Abruzzo,8,21.674,1,475,-,-,9,22.149,2004,Tavola 1
Molise,2,780,1,58,-,-,3,838,2004,Tavola 1
Campania,1,341,11,5.983,4,1.567,16,7.891,2004,Tavola 1
Puglia,1,1.152,3,2.826,15,8.065,19,12.043,2004,Tavola 1
Basilicata,1,300,2,883,1,254,4,1.437,2004,Tavola 1
Calabria,2,22,6,51,-,-,8,73,2004,Tavola 1
Sicilia,21,7.705,24,5.451,2,278,47,13.434,2004,Tavola 1
Sardegna,26,29.611,209,196.177,45,44.982,280,270.770,2004,Tavola 1
Piemonte,82,66.406,57,14.247,52,18.429,191,99.082,2004,Tavola 2
Valle d'Aosta/Vallée d'Aoste,15,21.902,-,-,-,-,15,21.902,2004,Tavola 2
Lombardia,75,41.524,32,8.375,51,12.518,158,62.417,2004,Tavola 2
Trento,1,244,-,-,-,-,1,244,2004,Tavola 2
Veneto,31,12.850,14,3.048,87,33.839,132,49.737,2004,Tavola 2
Friuli-Venezia Giulia,2,2.488,-,-,6,933,8,3.421,2004,Tavola 2
Liguria,22,25.100,8,5.167,-,-,30,30.267,2004,Tavola 2
Toscana,45,60.798,74,37.963,7,17.326,126,116.087,2004,Tavola 2
Umbria,4,2.310,13,7.530,-,-,17,9.840,2004,Tavola 2
Marche,9,11.129,15,5.962,-,-,24,17.091,2004,Tavola 2
Lazio,7,20.490,20,17.281,6,5.052,33,42.823,2004,Tavola 2
Abruzzo,3,210,9,1.364,-,-,12,1.574,2004,Tavola 2
Molise,3,3.544,10,6.988,-,-,13,10.532,2004,Tavola 2
Campania,1,1.500,6,4.832,2,2.300,9,8.632,2004,Tavola 2
Puglia,-,-,28,57.380,37,21.559,65,78.939,2004,Tavola 2
Basilicata,11,12.202,2,2.683,1,1.044,14,15.929,2004,Tavola 2
Calabria,1,781,2,877,1,15,4,1.673,2004,Tavola 2
Sicilia,2,1.041,14,13.269,5,5.002,21,19.312,2004,Tavola 2
Sardegna,5,11.741,35,45.965,26,33.767,66,91.473,2004,Tavola 2
Piemonte,34,15.431,134,86.040,113,85.933,281,187.404,2004,Tavola 3
Valle d'Aosta/Vallée d'Aoste,-,-,-,-,-,-,-,-,2004,Tavola 3
Lombardia,28,19.468,16,7.586,187,107.048,231,134.102,2004,Tavola 3
Trento,2,261,-,-,-,-,2,261,2004,Tavola 3
Veneto,3,410,56,15.214,187,103.373,246,118.997,2004,Tavola 3
Friuli-Venezia Giulia,1,1.618,-,-,-,-,1,1.618,2004,Tavola 3
Liguria,53,40.663,16,6.971,-,-,69,47.634,2004,Tavola 3
Toscana,13,10.658,150,121.702,10,7.866,173,140.226,2004,Tavola 3
Umbria,6,5.508,48,39.058,-,-,54,44.566,2004,Tavola 3
Marche,12,8.648,90,70.708,-,-,102,79.356,2004,Tavola 3
Lazio,5,5.448,21,19.937,4,3.248,30,28.633,2004,Tavola 3
Abruzzo,5,4.695,35,37.835,-,-,40,42.530,2004,Tavola 3
Molise,14,16.558,12,14.865,-,-,26,31.423,2004,Tavola 3
Campania,16,17.800,9,8.842,2,1.700,27,28.342,2004,Tavola 3
Puglia,2,2.020,20,29.108,14,23.682,36,54.810,2004,Tavola 3
Basilicata,-,-,1,400,-,-,1,400,2004,Tavola 3
Calabria,-,-,-,-,-,-,-,-,2004,Tavola 3
Sicilia,1,706,4,2.065,1,890,6,3.661,2004,Tavola 3
Sardegna,-,-,36,29.746,21,19.004,57,48.750,2004,Tavola 3
Piemonte,15,37.451,30,43.681,48,43.755,93,124.887,2005,Tavola 1
Valle d'Aosta/Vallée d'Aoste,3,15.356,-,-,-,-,3,15.356,2005,Tavola 1
Lombardia,12,22.782,19,10.263,134,38.092,165,71.137,2005,Tavola 1
Trento,6,6.870,-,-,-,-,6,6.870,2005,Tavola 1
Veneto,7,6.450,20,11.634,150,55.281,177,73.365,2005,Tavola 1
Friuli-Venezia Giulia,5,2.474,2,1.190,35,13.429,42,17.093,2005,Tavola 1
Liguria,4,6.402,1,300,-,-,5,6.702,2005,Tavola 1
Toscana,36,27.102,250,159.683,11,7.170,297,193.955,2005,Tavola 1
Umbria,18,11.876,59,23.823,-,-,77,35.699,2005,Tavola 1
Marche,23,18.986,35,24.252,-,-,58,43.238,2005,Tavola 1
Lazio,27,46.209,66,87.383,9,5.661,102,139.253,2005,Tavola 1
Abruzzo,8,21.674,1,475,-,-,9,22.149,2005,Tavola 1
Molise,2,780,3,5.852,-,-,5,6.632,2005,Tavola 1
Campania,1,341,12,6.699,3,1.414,16,8.454,2005,Tavola 1
Puglia,1,1.152,3,2.826,15,8.065,19,12.043,2005,Tavola 1
Basilicata,1,300,2,883,1,254,4,1.437,2005,Tavola 1
Calabria,1,20,8,89,-,-,9,109,2005,Tavola 1
Sicilia,21,7.705,26,5.829,2,228,49,13.762,2005,Tavola 1
Sardegna,26,29.611,209,196.177,45,44.982,280,270.770,2005,Tavola 1
Piemonte,82,66.406,58,14.455,52,18.429,192,99.290,2005,Tavola 2
