id,label,parent,value
"Cnidaria_ANTHOZOA_SCLERACTINIA_Dendrophylliidae_Non precisato_Astroides calycularis (Pallas, 1766)","Astroides calycularis (Pallas, 1766)",Cnidaria_ANTHOZOA_SCLERACTINIA_Dendrophylliidae_Non precisato,1
Cnidaria_ANTHOZOA_ZOANTHARIA,ZOANTHARIA,Cnidaria_ANTHOZOA,1
Cnidaria_ANTHOZOA_ZOANTHARIA_Gerardiidae,Gerardiidae,Cnidaria_ANTHOZOA_ZOANTHARIA,1
Cnidaria_ANTHOZOA_ZOANTHARIA_Gerardiidae_Non precisato,Non precisato,Cnidaria_ANTHOZOA_ZOANTHARIA_Gerardiidae,1
"Cnidaria_ANTHOZOA_ZOANTHARIA_Gerardiidae_Non precisato_Gerardia savaglia (Bertoloni, 1819)","Gerardia savaglia (Bertoloni, 1819)",Cnidaria_ANTHOZOA_ZOANTHARIA_Gerardiidae_Non precisato,1
Cnidaria_HYDROZOA,HYDROZOA,Cnidaria_,1
Cnidaria_HYDROZOA_ANTHOMEDUSAE,ANTHOMEDUSAE,Cnidaria_HYDROZOA,1
Cnidaria_HYDROZOA_ANTHOMEDUSAE_Stylasteridae,Stylasteridae,Cnidaria_HYDROZOA_ANTHOMEDUSAE,1
Cnidaria_HYDROZOA_ANTHOMEDUSAE_Stylasteridae_Non precisato,Non precisato,Cnidaria_HYDROZOA_ANTHOMEDUSAE_Stylasteridae,1
Cnidaria_HYDROZOA_ANTHOMEDUSAE_Stylasteridae_Non precisato_Errina aspera,Errina aspera,Cnidaria_HYDROZOA_ANTHOMEDUSAE_Stylasteridae_Non precisato,1
Echinodermata_,Echinodermata,,5
Echinodermata_ECHINOIDEA,ECHINOIDEA,Echinodermata_,3
Echinodermata_ECHINOIDEA_ECHINOIDEA,ECHINOIDEA,Echinodermata_ECHINOIDEA,3
Echinodermata_ECHINOIDEA_ECHINOIDEA_Diadematidae,Diadematidae,Echinodermata_ECHINOIDEA_ECHINOIDEA,2
Echinodermata_ECHINOIDEA_ECHINOIDEA_Diadematidae_Riccio di mare,Riccio di mare,Echinodermata_ECHINOIDEA_ECHINOIDEA_Diadematidae,2
"Echinodermata_ECHINOIDEA_ECHINOIDEA_Diadematidae_Riccio di mare_Centrostephanus longispinus (Philippi, 1845)","Centrostephanus longispinus (Philippi, 1845)",Echinodermata_ECHINOIDEA_ECHINOIDEA_Diadematidae_Riccio di mare,2
Echinodermata_ECHINOIDEA_ECHINOIDEA_Echinidae,Echinidae,Echinodermata_ECHINOIDEA_ECHINOIDEA,1
Echinodermata_ECHINOIDEA_ECHINOIDEA_Echinidae_Riccio di mare di roccia,Riccio di mare di roccia,Echinodermata_ECHINOIDEA_ECHINOIDEA_Echinidae,1
"Echinodermata_ECHINOIDEA_ECHINOIDEA_Echinidae_Riccio di mare di roccia_Paracentrotus lividus (Lamarck, 1816)","Paracentrotus lividus (Lamarck, 1816)",Echinodermata_ECHINOIDEA_ECHINOIDEA_Echinidae_Riccio di mare di roccia,1
Echinodermata_STELLEROIDEA,STELLEROIDEA,Echinodermata_,2
Echinodermata_STELLEROIDEA_ASTEROIDEA,ASTEROIDEA,Echinodermata_STELLEROIDEA,2
Echinodermata_STELLEROIDEA_ASTEROIDEA_Ophidiasteridae,Ophidiasteridae,Echinodermata_STELLEROIDEA_ASTEROIDEA,2
Echinodermata_STELLEROIDEA_ASTEROIDEA_Ophidiasteridae_Non precisato,Non precisato,Echinodermata_STELLEROIDEA_ASTEROIDEA_Ophidiasteridae,2
"Echinodermata_STELLEROIDEA_ASTEROIDEA_Ophidiasteridae_Non precisato_Asterina pancerii  (Gasco, 1860)","Asterina pancerii  (Gasco, 1860)",Echinodermata_STELLEROIDEA_ASTEROIDEA_Ophidiasteridae_Non precisato,1
"Echinodermata_STELLEROIDEA_ASTEROIDEA_Ophidiasteridae_Non precisato_Ophidiaster ophidianus  (Lamarck, 1816)","Ophidiaster ophidianus  (Lamarck, 1816)",Echinodermata_STELLEROIDEA_ASTEROIDEA_Ophidiasteridae_Non precisato,1
